                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2133,                 1.0083,                 1.3601,                0.77022,                0.67981,                0.75828,                0.44228,                 1.4079,                 1.0909,                 1.5238,              0.0015916,              0.0015916,              0.0015916
                     36,                 1.1737,                 1.0151,                 1.3357,                0.78342,                0.68927,                0.76137,                0.45962,                 1.3859,                 1.0867,                 1.5464,              0.0015793,              0.0015793,              0.0015793
                     37,                 1.1859,                0.97153,                 1.3415,                0.80906,                0.69243,                0.78624,                0.46253,                 1.4319,                 1.0344,                 1.5134,              0.0015669,              0.0015669,              0.0015669
                     38,                 1.1924,                 1.0127,                 1.3515,                0.74053,                0.70347,                0.75117,                0.44718,                 1.3896,                 1.1434,                 1.5201,              0.0015545,              0.0015545,              0.0015545
                     39,                 1.1716,                0.98347,                 1.3271,                0.82268,                0.70985,                0.79239,                 0.4717,                 1.3804,                 1.0301,                 1.5088,              0.0015421,              0.0015421,              0.0015421
                     40,                 1.1509,                 0.9649,                 1.3169,                0.80639,                0.67823,                 0.7772,                0.47177,                 1.3625,                 1.0707,                 1.4881,              0.0015298,              0.0015298,              0.0015298
                     41,                 1.1576,                0.96327,                 1.3189,                0.73914,                0.71136,                 0.7534,                 0.4443,                 1.3863,                 1.0795,                 1.5405,              0.0015174,              0.0015174,              0.0015174
                     42,                 1.1565,                0.95025,                 1.3246,                0.75826,                0.71609,                0.77765,                0.47111,                 1.3706,                  1.059,                 1.4975,               0.001505,               0.001505,               0.001505
                     43,                 1.1383,                0.94424,                 1.3027,                0.77514,                0.73948,                  0.787,                0.47683,                 1.3686,                 1.0215,                 1.4907,              0.0014926,              0.0014926,              0.0014926
                     44,                 1.1252,                0.90914,                 1.2996,                0.78721,                0.70189,                 0.7908,                 0.4611,                 1.4333,                 1.0541,                 1.5188,              0.0014803,              0.0014803,              0.0014803
                     45,                 1.1298,                0.92995,                 1.3016,                 0.7607,                0.69085,                0.76637,                0.45726,                 1.3826,                 1.1119,                 1.5191,              0.0014679,              0.0014679,              0.0014679
                     46,                 1.1074,                0.90956,                 1.2995,                0.81381,                0.73502,                0.80708,                0.49906,                 1.3325,                0.98824,                 1.4603,              0.0014555,              0.0014555,              0.0014555
                     47,                 1.0917,                0.87286,                 1.2747,                0.79258,                0.69913,                0.77089,                0.47293,                 1.3346,                 1.0616,                 1.4699,              0.0014431,              0.0014431,              0.0014431
                     48,                 1.0899,                0.87663,                 1.2689,                0.81053,                0.72872,                0.78512,                0.48266,                 1.3281,                0.99748,                 1.4623,              0.0014307,              0.0014307,              0.0014307
                     49,                 1.1055,                 0.8728,                 1.2805,                0.79137,                0.71795,                0.79158,                0.49606,                 1.3224,                 1.0044,                 1.4642,              0.0014184,              0.0014184,              0.0014184
                     50,                 1.0905,                0.87624,                 1.2779,                0.73306,                0.71468,                0.75945,                0.44705,                 1.3916,                   1.06,                 1.5409,               0.001406,               0.001406,               0.001406
