                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.0735,                 0.8649,                 1.2403,                0.84637,                0.73862,                0.82394,                0.50935,                 1.2876,                0.96183,                 1.4193,               0.000802,               0.000802,               0.000802
                     35,                 1.0803,                 0.8518,                 1.2606,                0.77241,                 0.7776,                0.80622,                0.50668,                 1.2675,                0.95596,                 1.4199,             0.00079581,             0.00079581,             0.00079581
                     36,                 1.0495,                  0.841,                 1.2409,                0.81146,                0.72082,                0.80544,                0.49607,                 1.3168,                0.99902,                 1.4589,             0.00078963,             0.00078963,             0.00078963
                     37,                  1.055,                0.82779,                 1.2402,                0.76485,                0.75414,                0.80917,                0.50712,                  1.339,                0.97339,                 1.4616,             0.00078344,             0.00078344,             0.00078344
                     38,                 1.0525,                0.84083,                 1.2547,                0.80744,                0.72093,                0.79383,                0.49525,                 1.3178,                0.97196,                 1.4622,             0.00077725,             0.00077725,             0.00077725
                     39,                 1.0555,                0.83904,                 1.2427,                0.78739,                0.74763,                0.81177,                0.49438,                 1.3082,                0.94756,                 1.4636,             0.00077106,             0.00077106,             0.00077106
                     40,                 1.0255,                0.80065,                  1.229,                0.79625,                0.73969,                0.82203,                0.50534,                  1.302,                0.93786,                 1.4369,             0.00076488,             0.00076488,             0.00076488
                     41,                 1.0272,                 0.8184,                 1.2205,                0.78461,                0.72871,                0.79728,                0.48449,                 1.3137,                0.93517,                 1.4609,             0.00075869,             0.00075869,             0.00075869
                     42,                 1.0166,                0.78658,                  1.216,                0.76646,                0.78549,                0.82732,                0.51185,                 1.2962,                0.92753,                 1.4375,              0.0007525,              0.0007525,              0.0007525
                     43,                 1.0215,                0.78718,                 1.2087,                 0.8384,                0.74466,                0.82883,                0.51278,                  1.309,                0.93127,                 1.4299,             0.00074631,             0.00074631,             0.00074631
                     44,                 1.0071,                0.77103,                 1.2168,                0.81646,                0.73975,                0.82057,                0.50549,                  1.347,                0.91712,                 1.4758,             0.00074013,             0.00074013,             0.00074013
                     45,                 1.0293,                 0.7908,                 1.2224,                0.83616,                0.74059,                 0.8251,                0.52514,                 1.2673,                0.93204,                 1.4247,             0.00073394,             0.00073394,             0.00073394
                     46,                0.97555,                0.77312,                 1.1993,                0.80816,                0.75084,                0.81774,                0.51061,                 1.2977,                0.94153,                 1.4476,             0.00072775,             0.00072775,             0.00072775
                     47,                 0.9626,                0.72894,                  1.188,                0.78019,                 0.7558,                0.79761,                0.49839,                 1.3228,                 0.9766,                 1.4494,             0.00072156,             0.00072156,             0.00072156
                     48,                0.97099,                0.74813,                 1.1954,                 0.8422,                0.75079,                 0.8222,                0.51797,                 1.2709,                0.89284,                 1.4542,             0.00071537,             0.00071537,             0.00071537
                     49,                0.98055,                0.75053,                 1.2009,                0.84309,                0.69874,                0.79679,                0.48951,                 1.3224,                0.96978,                 1.4698,             0.00070919,             0.00070919,             0.00070919
                     50,                0.97521,                0.76309,                 1.1997,                0.80898,                0.74145,                0.80629,                0.50432,                 1.3021,                0.92747,                 1.4626,               0.000703,               0.000703,               0.000703
                     51,                0.94699,                0.72703,                 1.1787,                0.80622,                0.74448,                0.80966,                0.50698,                 1.3326,                0.90507,                 1.4762,             0.00069681,             0.00069681,             0.00069681
                     52,                0.97082,                0.70911,                 1.1835,                0.78926,                0.75079,                0.78996,                0.48423,                 1.3234,                 0.9635,                 1.4709,             0.00069063,             0.00069063,             0.00069063
                     53,                0.96286,                0.71475,                 1.1776,                0.81713,                0.71183,                0.79465,                0.50755,                 1.3102,                0.93934,                 1.4643,             0.00068444,             0.00068444,             0.00068444
                     54,                0.94597,                 0.7052,                 1.1774,                0.83018,                0.71709,                 0.8143,                0.50912,                 1.3204,                 0.9075,                 1.4784,             0.00067825,             0.00067825,             0.00067825
                     55,                0.92723,                0.69324,                 1.1596,                0.82687,                0.73344,                0.80475,                0.49788,                 1.3507,                0.92731,                 1.5173,             0.00067206,             0.00067206,             0.00067206
                     56,                0.94953,                 0.7154,                 1.1668,                0.82078,                 0.7429,                0.81042,                0.50455,                 1.3129,                0.92693,                 1.4836,             0.00066588,             0.00066588,             0.00066588
                     57,                0.89803,                0.69005,                 1.1432,                0.84039,                0.69243,                0.79697,                0.50234,                 1.3362,                0.98102,                 1.4893,             0.00065969,             0.00065969,             0.00065969
                     58,                0.91051,                0.70243,                 1.1453,                0.80443,                 0.7461,                0.81358,                0.52402,                 1.2655,                 0.8815,                 1.4307,              0.0006535,              0.0006535,              0.0006535
                     59,                0.90386,                0.68663,                 1.1443,                0.82004,                0.73502,                0.81258,                0.52166,                 1.2787,                0.90252,                 1.4707,             0.00064731,             0.00064731,             0.00064731
                     60,                0.88614,                0.66502,                 1.1442,                0.80017,                0.73266,                0.80438,                0.50255,                 1.3244,                0.89919,                 1.4979,             0.00064112,             0.00064112,             0.00064112
                     61,                0.90298,                0.68027,                 1.1477,                0.83703,                0.74763,                0.82494,                0.52848,                 1.2862,                0.90047,                 1.4784,             0.00063494,             0.00063494,             0.00063494
                     62,                 0.8839,                0.66374,                  1.135,                0.83569,                0.72397,                0.81256,                0.52608,                  1.262,                0.89366,                 1.4378,             0.00062875,             0.00062875,             0.00062875
                     63,                0.88093,                 0.6533,                 1.1277,                0.80595,                0.73372,                0.81296,                0.52035,                 1.2662,                 0.8665,                 1.4495,             0.00062256,             0.00062256,             0.00062256
                     64,                0.86546,                 0.6423,                 1.1287,                0.83246,                0.73669,                0.82145,                0.51472,                 1.2817,                0.91991,                 1.4714,             0.00061638,             0.00061638,             0.00061638
                     65,                0.86699,                0.64887,                 1.1136,                0.79489,                0.75237,                0.81149,                0.51142,                 1.3026,                0.88657,                 1.4567,             0.00061019,             0.00061019,             0.00061019
                     66,                 0.8584,                 0.6344,                 1.1077,                0.83308,                0.72713,                0.82345,                0.53324,                 1.2724,                0.90276,                 1.4525,               0.000604,               0.000604,               0.000604
                     67,                0.84164,                 0.6363,                 1.1218,                0.80986,                0.76498,                0.82718,                0.52575,                 1.2833,                0.85454,                  1.474,             0.00059781,             0.00059781,             0.00059781
                     68,                 0.8388,                0.64423,                 1.1181,                0.81572,                0.74009,                0.81815,                0.51313,                 1.3371,                0.93564,                 1.4986,             0.00059163,             0.00059163,             0.00059163
                     69,                0.86464,                 0.6304,                 1.1155,                0.80652,                0.78864,                0.82697,                0.51704,                 1.3079,                0.84675,                 1.4738,             0.00058544,             0.00058544,             0.00058544
                     70,                0.86007,                0.64413,                 1.1148,                0.78727,                0.76341,                 0.8173,                0.52978,                 1.2745,                0.87656,                 1.4369,             0.00057925,             0.00057925,             0.00057925
                     71,                0.84159,                0.61101,                  1.105,                0.83928,                0.72482,                0.81193,                0.52996,                 1.2549,                0.85304,                 1.4312,             0.00057306,             0.00057306,             0.00057306
                     72,                0.82608,                0.60666,                 1.0973,                0.82043,                0.76972,                0.81931,                0.52273,                 1.3068,                0.84009,                 1.4904,             0.00056687,             0.00056687,             0.00056687
                     73,                0.83734,                0.60799,                 1.1067,                0.79776,                0.76972,                0.82091,                0.50867,                 1.3142,                0.86272,                   1.49,             0.00056069,             0.00056069,             0.00056069
                     74,                0.79634,                0.60029,                 1.0862,                0.79011,                 0.7719,                0.82745,                 0.5356,                 1.2819,                0.89841,                 1.4534,              0.0005545,              0.0005545,              0.0005545
                     75,                0.83162,                0.60788,                 1.0903,                0.85795,                0.73354,                0.81673,                0.51794,                 1.2802,                0.88311,                 1.4448,             0.00054831,             0.00054831,             0.00054831
                     76,                0.81598,                0.60795,                 1.0959,                0.80778,                 0.7571,                0.80917,                0.53281,                 1.2309,                 0.8779,                 1.4343,             0.00054212,             0.00054212,             0.00054212
                     77,                0.81777,                0.60112,                 1.0931,                0.78282,                0.76183,                0.81733,                0.51998,                 1.2737,                 0.8705,                 1.4865,             0.00053594,             0.00053594,             0.00053594
                     78,                0.80928,                0.59579,                 1.0893,                0.81295,                0.74448,                0.80681,                0.50056,                 1.3317,                0.87888,                 1.5126,             0.00052975,             0.00052975,             0.00052975
                     79,                0.81376,                0.60626,                 1.0959,                0.83081,                0.76183,                0.82365,                0.52874,                 1.2617,                0.87378,                  1.452,             0.00052356,             0.00052356,             0.00052356
                     80,                 0.7852,                0.58615,                 1.0713,                0.88667,                0.73344,                0.83778,                 0.5354,                  1.265,                0.83565,                 1.4576,             0.00051737,             0.00051737,             0.00051737
                     81,                0.77648,                 0.5774,                 1.0758,                0.77546,                0.76261,                0.80582,                0.52841,                 1.2582,                0.92401,                 1.4517,             0.00051119,             0.00051119,             0.00051119
                     82,                0.76981,                0.56818,                 1.0657,                0.77301,                0.80126,                0.81802,                0.52219,                 1.2794,                0.88814,                 1.4721,               0.000505,               0.000505,               0.000505
                     83,                0.78879,                0.58154,                 1.0746,                0.85379,                0.74132,                0.82518,                0.52306,                 1.2784,                0.86654,                 1.4615,             0.00049881,             0.00049881,             0.00049881
                     84,                0.77454,                0.56198,                 1.0766,                0.83234,                0.74606,                0.82517,                0.53485,                 1.2575,                0.84222,                 1.4911,             0.00049263,             0.00049263,             0.00049263
                     85,                0.76025,                0.55711,                 1.0574,                0.85023,                0.74448,                0.82084,                0.52745,                 1.2551,                0.84833,                 1.4714,             0.00048644,             0.00048644,             0.00048644
                     86,                0.76811,                0.56318,                 1.0638,                0.81802,                0.74763,                0.81421,                0.52375,                 1.2804,                0.86952,                 1.4639,             0.00048025,             0.00048025,             0.00048025
                     87,                0.75105,                0.55256,                 1.0538,                0.80402,                0.76025,                0.82041,                0.52773,                 1.2675,                0.85052,                 1.4794,             0.00047406,             0.00047406,             0.00047406
                     88,                0.74768,                 0.5415,                 1.0596,                 0.8168,                 0.7595,                0.82075,                0.52744,                 1.2765,                0.83404,                 1.4672,             0.00046788,             0.00046788,             0.00046788
                     89,                0.72721,                 0.5384,                 1.0455,                0.82988,                0.76173,                0.82471,                0.53577,                 1.2555,                0.86321,                 1.4545,             0.00046169,             0.00046169,             0.00046169
                     90,                0.73053,                0.54952,                 1.0466,                0.74835,                0.76498,                0.80412,                0.52161,                 1.2612,                0.92978,                 1.4692,              0.0004555,              0.0004555,              0.0004555
                     91,                0.74655,                  0.541,                 1.0502,                0.83175,                0.74076,                0.80692,                0.51827,                 1.2874,                0.89114,                 1.4531,             0.00044931,             0.00044931,             0.00044931
                     92,                0.73358,                0.52997,                 1.0476,                0.82622,                0.74448,                0.81579,                0.53598,                  1.253,                0.87961,                 1.4403,             0.00044312,             0.00044312,             0.00044312
                     93,                 0.7203,                0.52691,                 1.0342,                0.82416,                0.75408,                0.81984,                0.53708,                 1.2995,                0.88135,                 1.4752,             0.00043694,             0.00043694,             0.00043694
                     94,                0.71077,                0.52325,                 1.0463,                0.82253,                0.74606,                0.81507,                0.51933,                 1.2771,                0.89865,                 1.4904,             0.00043075,             0.00043075,             0.00043075
