                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.6785,                 1.6888,                 1.8104,                0.59081,                0.50631,                0.54691,                0.25305,                 1.8263,                 1.8175,                 2.0167,              0.0079581,              0.0079581,              0.0079581
                     36,                 1.6481,                 1.6699,                 1.8011,                0.61645,                0.49685,                 0.5622,                0.27046,                 1.7666,                  1.797,                 1.9834,              0.0078963,              0.0078963,              0.0078963
                     37,                 1.6618,                 1.6683,                 1.8214,                 0.6082,                0.47746,                 0.5447,                0.25513,                 1.8596,                 1.8898,                 2.0927,              0.0078344,              0.0078344,              0.0078344
                     38,                 1.6778,                 1.6635,                 1.8465,                0.51899,                 0.4858,                 0.4983,                0.22185,                 1.9937,                 1.8916,                 2.1701,              0.0077725,              0.0077725,              0.0077725
                     39,                 1.6353,                 1.6679,                  1.798,                0.45918,                0.57451,                0.42381,                0.19806,                 1.7596,                 2.0441,                 1.9558,              0.0077106,              0.0077106,              0.0077106
                     40,                 1.6067,                 1.5922,                 1.7788,                0.60423,                 0.5836,                 0.6283,                0.30456,                 1.7299,                 1.6387,                 1.9483,              0.0076488,              0.0076488,              0.0076488
                     41,                 1.6208,                 1.5996,                  1.761,                 0.6399,                0.53815,                0.58614,                0.26833,                  1.744,                 1.8584,                  1.958,              0.0075869,              0.0075869,              0.0075869
                     42,                 1.6158,                 1.5644,                 1.7699,                0.56026,                0.51735,                0.53998,                0.25298,                 1.8177,                 1.8314,                  2.016,               0.007525,               0.007525,               0.007525
                     43,                 1.6179,                 1.6181,                 1.7596,                0.54316,                0.39117,                0.43922,                0.19985,                  1.883,                 1.9795,                 2.0625,              0.0074631,              0.0074631,              0.0074631
                     44,                 1.5688,                 1.5566,                 1.7355,                0.60544,                0.57729,                0.62365,                0.30571,                 1.8241,                 1.6125,                 2.0067,              0.0074013,              0.0074013,              0.0074013
                     45,                 1.6197,                 1.5465,                 1.7608,                0.61644,                0.55521,                0.59545,                0.26868,                 1.8931,                  1.858,                 2.1229,              0.0073394,              0.0073394,              0.0073394
                     46,                 1.5948,                 1.5673,                 1.7815,                0.58039,                 0.6065,                0.61257,                0.29686,                 1.7203,                  1.794,                 1.9288,              0.0072775,              0.0072775,              0.0072775
                     47,                 1.5577,                 1.4913,                  1.721,                0.50345,                0.57729,                0.44256,                0.20806,                 1.7938,                 1.9631,                 1.9882,              0.0072156,              0.0072156,              0.0072156
                     48,                 1.5525,                 1.5148,                  1.718,                0.64702,                0.54416,                0.59369,                0.29061,                 1.7401,                 1.6701,                 1.9323,              0.0071538,              0.0071538,              0.0071538
                     49,                 1.5798,                 1.5101,                 1.7429,                0.47008,                0.55827,                0.39897,                0.18744,                 1.7625,                 2.0528,                 1.9868,              0.0070919,              0.0070919,              0.0070919
                     50,                 1.5717,                 1.5161,                  1.725,                0.41796,                0.55363,                0.36654,                0.17471,                   1.75,                  2.614,                 1.9901,                0.00703,                0.00703,                0.00703
                     51,                 1.5854,                 1.5549,                 1.7516,                0.49599,                0.55521,                 0.5571,                0.26291,                 1.7659,                 1.9096,                 1.9799,              0.0069681,              0.0069681,              0.0069681
                     52,                 1.5739,                 1.5111,                 1.7286,                0.61592,                0.57729,                0.59992,                0.30028,                 1.7208,                 1.6505,                 1.9233,              0.0069063,              0.0069063,              0.0069063
                     53,                 1.5727,                 1.4845,                 1.7221,                0.64447,                0.58899,                0.61912,                0.30692,                 1.7437,                 1.7025,                 1.9616,              0.0068444,              0.0068444,              0.0068444
                     54,                 1.5444,                 1.4535,                 1.7267,                0.69482,                 0.5694,                0.64471,                0.34095,                 1.6968,                 1.5863,                 1.9179,              0.0067825,              0.0067825,              0.0067825
                     55,                 1.5351,                 1.4783,                 1.6991,                0.60429,                0.53715,                0.60184,                0.30564,                 1.7405,                 1.6421,                 1.9368,              0.0067206,              0.0067206,              0.0067206
                     56,                 1.5892,                 1.5225,                  1.745,                0.68812,                0.59621,                0.65998,                0.33521,                 1.6495,                 1.6386,                 1.8955,              0.0066587,              0.0066587,              0.0066587
                     57,                 1.5246,                 1.4666,                 1.7036,                0.63778,                0.58323,                0.61294,                0.29363,                 1.7168,                 1.6817,                 1.9204,              0.0065969,              0.0065969,              0.0065969
                     58,                 1.5455,                 1.4675,                  1.693,                 0.7046,                0.59148,                0.66315,                0.32906,                 1.6904,                 1.4869,                 1.8987,               0.006535,               0.006535,               0.006535
                     59,                 1.5266,                 1.4201,                 1.6968,                 0.7027,                0.60568,                0.67677,                0.35541,                 1.7083,                 1.4533,                 1.9191,              0.0064731,              0.0064731,              0.0064731
                     60,                  1.528,                 1.4049,                 1.7024,                0.69289,                0.54416,                0.62965,                0.30776,                  1.763,                 1.5936,                 1.9734,              0.0064112,              0.0064112,              0.0064112
                     61,                 1.5217,                 1.4216,                 1.6866,                0.66313,                 0.6365,                0.65591,                0.32702,                 1.7197,                  1.586,                 1.9076,              0.0063494,              0.0063494,              0.0063494
                     62,                 1.4861,                  1.415,                 1.6616,                0.69682,                0.67823,                 0.6988,                0.37137,                 1.6441,                 1.4245,                 1.8371,              0.0062875,              0.0062875,              0.0062875
                     63,                 1.4931,                 1.3784,                 1.6674,                0.62742,                0.59148,                0.64918,                0.33478,                 1.6407,                 1.5545,                 1.8822,              0.0062256,              0.0062256,              0.0062256
                     64,                 1.4794,                 1.3788,                 1.6557,                 0.7089,                0.60689,                0.68634,                0.34965,                  1.742,                  1.425,                 1.9342,              0.0061637,              0.0061637,              0.0061637
                     65,                 1.4738,                 1.3413,                 1.6316,                0.60564,                0.59464,                0.59193,                0.29572,                 1.7401,                 1.5685,                 1.9229,              0.0061019,              0.0061019,              0.0061019
                     66,                 1.4666,                 1.3359,                 1.6234,                0.69281,                0.64387,                0.69194,                0.34213,                  1.705,                 1.4292,                 1.8831,                0.00604,                0.00604,                0.00604
                     67,                 1.4476,                 1.3385,                 1.6438,                0.66814,                0.67192,                0.70451,                0.36957,                 1.6062,                 1.4066,                 1.7949,              0.0059781,              0.0059781,              0.0059781
                     68,                 1.4576,                 1.3776,                 1.6553,                0.64266,                0.53943,                0.60155,                0.30757,                 1.7065,                 1.5557,                 1.9296,              0.0059163,              0.0059163,              0.0059163
                     69,                 1.4596,                 1.3152,                  1.624,                0.70759,                0.61832,                0.67912,                0.35004,                 1.6419,                 1.5327,                 1.8728,              0.0058544,              0.0058544,              0.0058544
                     70,                 1.4572,                 1.3462,                 1.6374,                0.64651,                0.61356,                0.67017,                  0.358,                 1.6554,                 1.4451,                 1.8424,              0.0057925,              0.0057925,              0.0057925
                     71,                 1.4559,                 1.3243,                 1.6275,                0.71147,                0.57729,                0.66397,                 0.3359,                 1.7028,                 1.5041,                 1.8882,              0.0057306,              0.0057306,              0.0057306
                     72,                  1.433,                 1.3294,                 1.6158,                 0.6993,                0.58991,                0.65646,                0.31709,                 1.7299,                 1.5294,                 1.9415,              0.0056688,              0.0056688,              0.0056688
                     73,                 1.4187,                 1.3094,                 1.6119,                0.74084,                0.62222,                0.69819,                0.36348,                   1.71,                  1.494,                 1.8882,              0.0056069,              0.0056069,              0.0056069
                     74,                 1.4114,                 1.2965,                 1.6159,                0.72335,                 0.6183,                0.69593,                 0.3688,                 1.6019,                 1.4518,                 1.8453,               0.005545,               0.005545,               0.005545
                     75,                 1.4339,                 1.3146,                 1.6061,                0.68921,                0.63311,                0.70145,                0.36943,                 1.6262,                 1.3792,                 1.8225,              0.0054831,              0.0054831,              0.0054831
                     76,                 1.4137,                 1.2846,                 1.6005,                0.68616,                0.62461,                0.69402,                0.36786,                 1.5917,                 1.4137,                  1.805,              0.0054212,              0.0054212,              0.0054212
                     77,                 1.4325,                 1.2933,                 1.6088,                0.75656,                0.59148,                0.68987,                0.35839,                 1.7324,                 1.3879,                 1.8851,              0.0053594,              0.0053594,              0.0053594
                     78,                  1.434,                 1.3079,                 1.6188,                0.66984,                0.55681,                 0.6333,                0.32448,                 1.6902,                 1.4746,                 1.9015,              0.0052975,              0.0052975,              0.0052975
                     79,                 1.4113,                 1.3388,                 1.6205,                0.71687,                0.59621,                 0.6665,                0.34253,                 1.6627,                 1.5582,                  1.841,              0.0052356,              0.0052356,              0.0052356
                     80,                 1.3965,                 1.2862,                 1.6001,                0.73485,                 0.6557,                0.72421,                0.39179,                 1.6416,                 1.3178,                 1.8229,              0.0051737,              0.0051737,              0.0051737
                     81,                 1.3659,                 1.2572,                 1.5757,                0.70799,                 0.6388,                0.69225,                0.37387,                 1.5644,                  1.382,                 1.7719,              0.0051119,              0.0051119,              0.0051119
                     82,                 1.3458,                 1.2269,                 1.5605,                0.74964,                0.60925,                0.69044,                0.34788,                 1.6486,                 1.6481,                  1.884,                0.00505,                0.00505,                0.00505
                     83,                 1.3458,                 1.2286,                  1.538,                0.76937,                0.65247,                0.72959,                0.39343,                 1.5727,                 1.3108,                 1.7905,              0.0049881,              0.0049881,              0.0049881
                     84,                 1.3766,                 1.2189,                 1.5576,                0.71772,                  0.653,                0.71566,                 0.3788,                  1.585,                 1.3732,                 1.8269,              0.0049263,              0.0049263,              0.0049263
                     85,                 1.3783,                 1.2041,                 1.5587,                0.75038,                0.63249,                0.73046,                0.38272,                  1.655,                 1.3541,                 1.8534,              0.0048644,              0.0048644,              0.0048644
                     86,                 1.3506,                 1.1969,                 1.5539,                0.75943,                0.60095,                0.69538,                0.36602,                 1.6469,                 1.4306,                 1.8737,              0.0048025,              0.0048025,              0.0048025
                     87,                 1.3475,                 1.1844,                 1.5456,                0.68181,                0.63878,                0.67678,                0.34605,                 1.6268,                 1.4343,                 1.8541,              0.0047406,              0.0047406,              0.0047406
                     88,                 1.3323,                 1.1823,                  1.553,                0.70406,                0.64541,                 0.7122,                0.37712,                 1.6256,                  1.345,                 1.8287,              0.0046788,              0.0046788,              0.0046788
                     89,                 1.3143,                  1.153,                 1.5285,                 0.7229,                0.60568,                0.68128,                0.37537,                 1.5857,                 1.4339,                 1.7945,              0.0046169,              0.0046169,              0.0046169
                     90,                 1.2968,                 1.1623,                 1.5186,                0.71173,                0.63407,                0.68949,                0.37361,                 1.5644,                 1.3705,                 1.8031,               0.004555,               0.004555,               0.004555
                     91,                 1.3699,                 1.1921,                 1.5591,                0.70232,                0.62518,                0.69184,                0.37252,                 1.5787,                 1.3874,                 1.8002,              0.0044931,              0.0044931,              0.0044931
                     92,                 1.3274,                 1.1699,                 1.5379,                0.72228,                0.64814,                0.71039,                0.37948,                 1.6284,                 1.2924,                 1.8346,              0.0044313,              0.0044313,              0.0044313
                     93,                   1.31,                 1.1837,                 1.5077,                 0.6396,                0.55363,                0.62152,                0.32259,                 1.6374,                 1.4846,                 1.8537,              0.0043694,              0.0043694,              0.0043694
                     94,                 1.2927,                 1.1625,                 1.5131,                0.70527,                0.64541,                 0.7039,                0.36906,                  1.676,                 1.3613,                 1.8227,              0.0043075,              0.0043075,              0.0043075
                     95,                 1.2919,                 1.1353,                 1.4959,                0.74709,                0.65615,                0.73132,                0.39107,                 1.6365,                 1.2894,                 1.8406,              0.0042456,              0.0042456,              0.0042456
                     96,                 1.3049,                 1.1531,                 1.5074,                0.70533,                0.67823,                 0.7165,                0.37177,                 1.6104,                  1.301,                 1.8518,              0.0041837,              0.0041837,              0.0041837
                     97,                 1.2971,                 1.1194,                 1.5115,                0.74291,                0.66404,                0.72303,                0.40135,                  1.557,                 1.2965,                 1.7771,              0.0041219,              0.0041219,              0.0041219
                     98,                 1.2987,                 1.1262,                 1.4909,                0.70467,                0.64511,                0.69223,                0.37249,                 1.5505,                 1.3375,                 1.7672,                0.00406,                0.00406,                0.00406
                     99,                 1.2644,                 1.0923,                 1.4699,                0.77583,                0.64416,                0.72176,                0.39601,                  1.573,                 1.2949,                 1.7869,              0.0039981,              0.0039981,              0.0039981
                    100,                 1.2452,                 1.0913,                 1.4729,                0.68811,                0.63681,                0.69567,                0.38442,                 1.5805,                 1.3363,                 1.7935,              0.0039362,              0.0039362,              0.0039362
                    101,                 1.2763,                 1.0839,                 1.4918,                0.82528,                0.59779,                0.70869,                0.39696,                  1.542,                 1.3971,                 1.8143,              0.0038744,              0.0038744,              0.0038744
                    102,                 1.2583,                 1.1172,                 1.5011,                 0.7405,                0.67823,                0.73438,                0.40573,                 1.5648,                 1.2414,                 1.8152,              0.0038125,              0.0038125,              0.0038125
                    103,                 1.2454,                  1.081,                 1.4638,                 0.7758,                0.65615,                0.73941,                0.41496,                 1.5235,                 1.2127,                 1.7689,              0.0037506,              0.0037506,              0.0037506
                    104,                  1.235,                 1.0797,                 1.4661,                0.75701,                0.65353,                0.72161,                0.40317,                 1.5529,                 1.2493,                 1.7688,              0.0036888,              0.0036888,              0.0036888
                    105,                  1.227,                 1.0872,                 1.4773,                0.68687,                0.61584,                 0.6713,                 0.3651,                 1.5754,                 1.3513,                 1.7915,              0.0036269,              0.0036269,              0.0036269
                    106,                 1.1993,                  1.053,                 1.4486,                0.76264,                0.67404,                0.73556,                0.40514,                 1.6096,                 1.2739,                  1.816,               0.003565,               0.003565,               0.003565
