                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3511,                 1.2178,                 1.5088,                0.74568,                0.65672,                0.73503,                0.40509,                  1.469,                 1.2855,                 1.6342,              0.0079581,              0.0079581,              0.0079581
                     36,                 1.3266,                 1.2083,                 1.5086,                0.70661,                0.68612,                0.72405,                 0.3849,                 1.4879,                 1.3176,                 1.6883,              0.0078963,              0.0078963,              0.0078963
                     37,                 1.3402,                 1.2039,                 1.5025,                0.73386,                0.70022,                0.75076,                0.42835,                 1.4304,                 1.2217,                 1.5939,              0.0078344,              0.0078344,              0.0078344
                     38,                 1.3361,                 1.2115,                 1.4998,                0.70582,                0.62776,                 0.6963,                0.39314,                  1.515,                 1.4912,                 1.6684,              0.0077725,              0.0077725,              0.0077725
                     39,                  1.313,                 1.1974,                 1.4769,                0.70185,                 0.6869,                0.73249,                 0.4029,                 1.5664,                 1.2339,                 1.7478,              0.0077106,              0.0077106,              0.0077106
                     40,                 1.2843,                 1.1714,                 1.4748,                0.74628,                0.67269,                 0.7516,                0.42779,                 1.4343,                   1.26,                 1.6222,              0.0076488,              0.0076488,              0.0076488
                     41,                 1.2937,                 1.1605,                 1.4516,                 0.7402,                0.65615,                0.73558,                0.40843,                 1.4673,                 1.2345,                 1.6357,              0.0075869,              0.0075869,              0.0075869
                     42,                  1.305,                 1.1418,                 1.4741,                0.72341,                0.67655,                0.73567,                0.43075,                 1.4251,                 1.2592,                 1.6039,               0.007525,               0.007525,               0.007525
                     43,                 1.2866,                 1.1451,                 1.4566,                0.75323,                0.68612,                0.73928,                0.40856,                 1.4875,                 1.2475,                 1.6737,              0.0074631,              0.0074631,              0.0074631
                     44,                 1.2539,                 1.0976,                  1.438,                0.78765,                0.66719,                0.77133,                0.45115,                 1.4436,                 1.1902,                 1.5882,              0.0074013,              0.0074013,              0.0074013
                     45,                 1.2887,                 1.1247,                 1.4441,                0.77086,                0.67391,                0.75539,                 0.4283,                 1.4513,                 1.1916,                 1.6076,              0.0073394,              0.0073394,              0.0073394
                     46,                 1.2405,                   1.08,                 1.4463,                0.76455,                0.70189,                0.77159,                0.44846,                 1.4155,                 1.1431,                 1.5961,              0.0072775,              0.0072775,              0.0072775
                     47,                  1.231,                  1.056,                 1.4194,                0.77228,                 0.6735,                 0.7443,                 0.4317,                 1.4496,                 1.1612,                 1.6153,              0.0072156,              0.0072156,              0.0072156
                     48,                 1.2605,                  1.084,                 1.4302,                0.76232,                0.71136,                0.77347,                0.42004,                 1.4825,                 1.1655,                 1.6289,              0.0071538,              0.0071538,              0.0071538
                     49,                 1.2575,                 1.0737,                 1.4327,                 0.7732,                0.72593,                0.78277,                0.44952,                 1.4708,                  1.159,                 1.6613,              0.0070919,              0.0070919,              0.0070919
                     50,                 1.2416,                 1.0818,                 1.4228,                0.73249,                0.69102,                0.73424,                0.41604,                 1.4648,                 1.2334,                 1.6275,                0.00703,                0.00703,                0.00703
                     51,                 1.2113,                 1.0818,                 1.4125,                0.74228,                0.64196,                0.71807,                0.39576,                 1.5336,                 1.2674,                 1.6995,              0.0069681,              0.0069681,              0.0069681
                     52,                 1.2132,                 1.0335,                 1.4024,                0.80768,                0.63589,                0.75915,                0.44994,                 1.4392,                 1.1578,                 1.6182,              0.0069063,              0.0069063,              0.0069063
                     53,                 1.2392,                 1.0517,                 1.4137,                0.74795,                0.69874,                0.76205,                0.43736,                  1.441,                 1.1738,                 1.5957,              0.0068444,              0.0068444,              0.0068444
                     54,                 1.2062,                 1.0353,                 1.4018,                0.73496,                0.68927,                0.73189,                0.42112,                 1.4912,                 1.2616,                 1.6817,              0.0067825,              0.0067825,              0.0067825
                     55,                 1.2135,                 1.0226,                  1.407,                0.78466,                0.67035,                0.75346,                0.44487,                 1.4317,                 1.1678,                 1.6305,              0.0067206,              0.0067206,              0.0067206
                     56,                 1.2115,                 1.0186,                 1.3973,                0.78804,                0.70189,                 0.7737,                0.45815,                 1.4023,                  1.095,                 1.5793,              0.0066587,              0.0066587,              0.0066587
                     57,                 1.1632,                0.99049,                 1.3638,                0.80745,                 0.6879,                0.76831,                 0.4421,                 1.4154,                 1.0934,                 1.5852,              0.0065969,              0.0065969,              0.0065969
                     58,                 1.1649,                0.99853,                 1.3585,                0.75644,                0.70189,                0.76166,                0.44677,                 1.4429,                 1.1392,                 1.5958,               0.006535,               0.006535,               0.006535
                     59,                 1.1757,                0.98636,                 1.3642,                0.78613,                0.71767,                0.78422,                0.45003,                 1.4405,                 1.1101,                 1.6098,              0.0064731,              0.0064731,              0.0064731
                     60,                 1.1595,                0.98829,                 1.3798,                0.74427,                0.69317,                0.75032,                0.43618,                   1.47,                 1.1212,                 1.6209,              0.0064112,              0.0064112,              0.0064112
                     61,                  1.177,                0.97866,                 1.3601,                 0.7461,                0.68297,                0.74337,                0.42791,                 1.4421,                 1.1483,                 1.5816,              0.0063494,              0.0063494,              0.0063494
                     62,                 1.1571,                0.98161,                 1.3514,                0.73563,                 0.7082,                0.74101,                0.40642,                 1.5175,                 1.2232,                 1.6958,              0.0062875,              0.0062875,              0.0062875
                     63,                 1.1661,                0.97739,                 1.3598,                0.76693,                0.69401,                0.76669,                0.44949,                 1.3996,                 1.1296,                 1.5923,              0.0062256,              0.0062256,              0.0062256
                     64,                 1.1282,                0.95471,                  1.346,                0.77643,                0.69568,                0.77219,                0.44354,                 1.4582,                 1.0974,                 1.6357,              0.0061637,              0.0061637,              0.0061637
                     65,                 1.1109,                 0.9337,                 1.3138,                0.75891,                0.68297,                0.75148,                0.43137,                 1.4353,                 1.1499,                 1.6015,              0.0061019,              0.0061019,              0.0061019
                     66,                 1.1012,                0.92323,                 1.3059,                0.76769,                0.72082,                0.77842,                0.45666,                 1.4292,                 1.0978,                 1.6099,                0.00604,                0.00604,                0.00604
                     67,                 1.1124,                0.91922,                 1.3402,                0.74999,                0.74763,                0.79002,                0.47209,                 1.3973,                 1.0931,                 1.5671,              0.0059781,              0.0059781,              0.0059781
                     68,                 1.1146,                0.96306,                 1.3411,                0.72669,                0.68612,                 0.7434,                0.42817,                 1.4591,                 1.1944,                 1.6346,              0.0059163,              0.0059163,              0.0059163
                     69,                 1.0997,                0.91287,                 1.3124,                0.73091,                0.74975,                0.76418,                0.44645,                 1.4311,                 1.0667,                 1.5986,              0.0058544,              0.0058544,              0.0058544
                     70,                 1.1116,                0.93625,                 1.3268,                 0.7938,                0.71451,                  0.778,                0.45269,                 1.4603,                 1.0791,                 1.6122,              0.0057925,              0.0057925,              0.0057925
                     71,                 1.0875,                0.89314,                 1.3078,                0.78419,                0.72082,                0.77647,                0.46545,                 1.3615,                  1.059,                 1.5358,              0.0057306,              0.0057306,              0.0057306
                     72,                 1.0707,                0.88724,                 1.2946,                0.77426,                0.66002,                0.73751,                0.40936,                 1.5028,                 1.1916,                 1.6786,              0.0056688,              0.0056688,              0.0056688
                     73,                 1.0688,                0.89069,                 1.3083,                0.76382,                0.72947,                0.77588,                0.44038,                 1.4803,                 1.0395,                 1.6576,              0.0056069,              0.0056069,              0.0056069
                     74,                 1.0678,                0.89254,                 1.3029,                0.76834,                0.72397,                0.77048,                0.43268,                 1.4748,                 1.0578,                 1.6248,               0.005545,               0.005545,               0.005545
                     75,                 1.1052,                0.90646,                 1.3075,                0.73122,                0.72082,                0.76356,                0.45101,                 1.3944,                 1.0713,                 1.5778,              0.0054831,              0.0054831,              0.0054831
                     76,                 1.0898,                0.90641,                 1.3072,                 0.7883,                0.69892,                0.77096,                0.45841,                 1.4113,                 1.0858,                 1.5718,              0.0054212,              0.0054212,              0.0054212
                     77,                 1.0654,                0.87325,                  1.286,                0.79858,                0.68788,                 0.7796,                0.45622,                 1.4129,                  1.035,                 1.5973,              0.0053594,              0.0053594,              0.0053594
                     78,                   1.07,                0.88203,                  1.295,                0.76325,                0.71767,                0.76752,                0.44988,                 1.3857,                 1.0911,                 1.5781,              0.0052975,              0.0052975,              0.0052975
                     79,                 1.0514,                 0.8809,                  1.302,                0.79459,                0.70168,                0.77736,                 0.4491,                 1.4205,                  1.109,                 1.5824,              0.0052356,              0.0052356,              0.0052356
                     80,                 1.0414,                0.85964,                 1.2723,                 0.7765,                 0.6735,                0.75316,                0.45389,                 1.4154,                 1.0942,                 1.6134,              0.0051737,              0.0051737,              0.0051737
                     81,                  1.034,                0.85257,                 1.2764,                 0.8003,                0.70189,                0.77718,                0.47178,                 1.3855,                  1.061,                 1.5448,              0.0051119,              0.0051119,              0.0051119
                     82,                 1.0132,                0.83693,                 1.2652,                0.75653,                0.70085,                  0.761,                0.44401,                 1.4073,                  1.129,                 1.5967,                0.00505,                0.00505,                0.00505
                     83,                  1.018,                0.83661,                 1.2615,                0.79077,                0.73322,                0.78571,                 0.4676,                 1.3986,                 1.0546,                 1.5798,              0.0049881,              0.0049881,              0.0049881
                     84,                 1.0413,                0.82659,                  1.277,                0.80497,                0.69716,                0.77563,                0.46543,                 1.3827,                 1.0244,                 1.5938,              0.0049263,              0.0049263,              0.0049263
                     85,                 1.0057,                0.82034,                 1.2507,                0.82604,                0.67981,                0.77786,                 0.4697,                 1.4075,                 1.0615,                 1.5802,              0.0048644,              0.0048644,              0.0048644
                     86,                 1.0093,                0.82492,                  1.254,                0.76844,                0.70347,                0.77765,                0.46874,                   1.39,                 1.0514,                 1.5575,              0.0048025,              0.0048025,              0.0048025
                     87,                0.99976,                 0.8052,                 1.2451,                0.77436,                0.70662,                 0.7592,                0.42992,                 1.4485,                 1.0808,                 1.6369,              0.0047406,              0.0047406,              0.0047406
