                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.0513,                 2.2557,                 2.1589,                0.39018,                0.28707,                0.28756,                0.11236,                  2.238,                  2.413,                 2.3904,              0.0079581,              0.0079581,              0.0079581
                     36,                 2.0552,                 2.2878,                 2.1847,                0.40647,                0.34543,                0.30767,                 0.1186,                   2.13,                 2.4674,                 2.3256,              0.0078963,              0.0078963,              0.0078963
                     37,                  2.033,                 2.2512,                 2.1704,                0.28432,                0.21055,                0.18129,                0.06059,                 2.2951,                 3.6459,                 2.6472,              0.0078344,              0.0078344,              0.0078344
                     38,                 2.0387,                 2.3024,                 2.1807,                0.34231,                0.35174,                0.29635,                0.11381,                 2.1641,                 2.8037,                 2.3631,              0.0077725,              0.0077725,              0.0077725
                     39,                 2.0238,                 2.2327,                 2.1444,                0.39833,                0.33281,                0.31414,                0.11987,                 2.3127,                 2.4272,                 2.4324,              0.0077106,              0.0077106,              0.0077106
                     40,                 1.9866,                 2.1702,                 2.1192,                0.39084,                 0.3046,                0.29612,                0.11559,                 2.2343,                 2.3528,                 2.4116,              0.0076488,              0.0076488,              0.0076488
                     41,                 1.9987,                 2.2061,                  2.124,                0.45642,                0.38486,                0.38503,                0.16041,                 2.0049,                 2.1982,                 2.1936,              0.0075869,              0.0075869,              0.0075869
                     42,                 1.9903,                 2.1683,                 2.0885,                0.42765,                 0.3817,                0.35362,                0.14172,                 2.1025,                 2.3893,                 2.3216,               0.007525,               0.007525,               0.007525
                     43,                 1.9742,                 2.1774,                 2.0713,                0.09811,                0.13075,                0.02581,                0.00928,                    nan,                    nan,                    nan,              0.0074631,              0.0074631,              0.0074631
                     44,                 1.9772,                 2.1272,                 2.0819,                0.16255,                 0.2918,                0.07358,                0.02751,                    nan,                    nan,                    nan,              0.0074013,              0.0074013,              0.0074013
                     45,                 1.9813,                 2.1293,                 2.0684,                0.00526,                0.17192,                0.00283,                0.00121,                    nan,                    nan,                    nan,              0.0073394,              0.0073394,              0.0073394
                     46,                 1.9289,                 2.1117,                  2.073,                0.43584,                0.40212,                 0.3747,                0.15375,                 1.9949,                 2.2942,                 2.1512,              0.0072775,              0.0072775,              0.0072775
                     47,                 1.9302,                 2.0499,                 2.0276,                0.45038,                0.36751,                0.37408,                0.15469,                 2.0228,                 2.1966,                  2.204,              0.0072156,              0.0072156,              0.0072156
                     48,                 1.9322,                 2.0833,                 2.0412,                0.45138,                0.40694,                0.37967,                0.16071,                 2.0379,                 2.1542,                 2.2134,              0.0071538,              0.0071538,              0.0071538
                     49,                 1.9335,                 2.0507,                 2.0371,                0.48708,                0.46133,                0.44504,                0.18276,                 1.9667,                 2.1218,                 2.1824,              0.0070919,              0.0070919,              0.0070919
                     50,                 1.9395,                 2.0941,                 2.0374,                0.48223,                0.41483,                0.42164,                0.17881,                 2.0139,                 2.1271,                 2.2074,                0.00703,                0.00703,                0.00703
                     51,                 1.9291,                 2.0636,                 2.0302,                0.46659,                0.37382,                0.39296,                0.16503,                 2.0029,                 2.1091,                 2.1855,              0.0069681,              0.0069681,              0.0069681
                     52,                 1.9295,                 2.0139,                 2.0162,                0.27138,                0.40694,                0.17021,                0.06652,                    nan,                    nan,                    nan,              0.0069063,              0.0069063,              0.0069063
                     53,                 1.9307,                 2.0505,                 2.0275,                0.40099,                0.33576,                0.24774,                0.09687,                    nan,                    nan,                    nan,              0.0068444,              0.0068444,              0.0068444
                     54,                 1.8857,                 1.9974,                 2.0034,                0.44347,                0.43375,                0.41012,                0.17156,                 2.1195,                 2.0436,                  2.255,              0.0067825,              0.0067825,              0.0067825
                     55,                 1.8932,                 1.9923,                  1.999,                 0.5148,                 0.4234,                0.43355,                0.19713,                 1.9448,                 2.0903,                 2.1227,              0.0067206,              0.0067206,              0.0067206
                     56,                 1.8921,                  1.998,                 1.9918,                0.48761,                0.36909,                0.39512,                 0.1763,                 2.0314,                 2.1923,                 2.2082,              0.0066587,              0.0066587,              0.0066587
                     57,                 1.8738,                 1.9626,                 1.9767,                0.49982,                0.42744,                0.43518,                0.18562,                 2.0599,                 2.0912,                 2.2423,              0.0065969,              0.0065969,              0.0065969
                     58,                 1.9017,                 1.9831,                 1.9842,                0.48821,                0.41009,                0.41563,                0.16778,                 2.1486,                 2.2217,                 2.2329,               0.006535,               0.006535,               0.006535
                     59,                 1.8738,                 1.9877,                 1.9788,                0.50232,                0.42902,                0.41963,                0.18442,                 2.0275,                 2.1167,                 2.2042,              0.0064731,              0.0064731,              0.0064731
                     60,                 1.8537,                 1.9621,                 1.9718,                0.49771,                0.41886,                0.43954,                0.19637,                 1.9796,                 2.1018,                 2.1427,              0.0064112,              0.0064112,              0.0064112
                     61,                 1.8676,                 1.9418,                 1.9584,                0.49942,                0.36751,                0.39229,                0.16267,                 2.1852,                 2.2428,                 2.2765,              0.0063494,              0.0063494,              0.0063494
                     62,                 1.8586,                 1.9107,                 1.9441,                0.42402,                0.40852,                0.41656,                0.17558,                  2.025,                 2.1503,                 2.1645,              0.0062875,              0.0062875,              0.0062875
                     63,                 1.8323,                 1.9051,                 1.9313,                0.48896,                0.46481,                0.46309,                0.20751,                 1.9472,                 1.9524,                 2.0961,              0.0062256,              0.0062256,              0.0062256
                     64,                 1.8191,                 1.9137,                  1.935,                0.52928,                0.42919,                  0.469,                0.21003,                 1.9468,                 2.0226,                 2.0993,              0.0061637,              0.0061637,              0.0061637
                     65,                 1.8093,                 1.8611,                 1.8867,                 0.4432,                0.42271,                 0.4252,                 0.1819,                 1.9611,                 2.1219,                 2.1121,              0.0061019,              0.0061019,              0.0061019
                     66,                 1.7969,                 1.8485,                 1.8935,                0.40241,                0.37539,                0.33523,                0.13875,                  2.163,                 2.3313,                 2.3349,                0.00604,                0.00604,                0.00604
                     67,                 1.8313,                 1.8892,                 1.9436,                 0.4782,                0.42271,                  0.423,                0.17394,                 2.0511,                 2.2329,                 2.1565,              0.0059781,              0.0059781,              0.0059781
                     68,                 1.8244,                  1.902,                   1.92,                0.54574,                0.44322,                0.47926,                0.21961,                 1.9443,                 1.9283,                 2.0743,              0.0059163,              0.0059163,              0.0059163
                     69,                 1.7978,                 1.8114,                 1.8785,                0.53794,                0.41483,                0.45641,                0.19703,                 1.9668,                 2.0034,                  2.055,              0.0058544,              0.0058544,              0.0058544
                     70,                 1.8113,                 1.8844,                 1.9016,                0.58091,                0.47319,                0.49793,                0.21732,                 1.9571,                  1.997,                 2.1175,              0.0057925,              0.0057925,              0.0057925
                     71,                 1.7955,                 1.8138,                 1.8869,                0.54453,                0.40852,                0.45514,                  0.205,                    nan,                    nan,                    nan,              0.0057306,              0.0057306,              0.0057306
                     72,                 1.7787,                 1.8275,                 1.8824,                0.57681,                 0.4164,                0.47407,                0.20275,                 1.9428,                 1.9628,                 2.0848,              0.0056688,              0.0056688,              0.0056688
                     73,                 1.7655,                 1.7971,                 1.8767,                0.57786,                0.39117,                0.44563,                0.20599,                 1.9503,                 2.0293,                 2.0717,              0.0056069,              0.0056069,              0.0056069
                     74,                 1.7584,                 1.7827,                 1.8819,                0.56697,                0.41956,                0.46418,                0.21485,                  1.959,                  1.973,                 2.0442,               0.005545,               0.005545,               0.005545
                     75,                 1.8061,                 1.8365,                 1.8702,                0.54698,                 0.4704,                0.50306,                0.22961,                  1.934,                 1.8473,                 2.0542,              0.0054831,              0.0054831,              0.0054831
                     76,                 1.7737,                 1.8109,                 1.8628,                0.45101,                0.46688,                0.44243,                0.20142,                 1.9221,                 1.9017,                 2.0251,              0.0054212,              0.0054212,              0.0054212
                     77,                 1.7643,                 1.7777,                 1.8494,                0.52655,                0.47161,                0.48917,                0.21616,                 2.0412,                 1.8793,                 2.1197,              0.0053594,              0.0053594,              0.0053594
                     78,                 1.7572,                 1.7605,                 1.8624,                0.57799,                0.46215,                0.53008,                0.24613,                 1.9123,                 1.8723,                 2.0404,              0.0052975,              0.0052975,              0.0052975
                     79,                 1.7511,                 1.7768,                 1.8737,                0.52574,                0.43375,                0.48735,                0.22123,                 2.0392,                  2.052,                 2.1095,              0.0052356,              0.0052356,              0.0052356
                     80,                 1.7252,                 1.7273,                 1.8453,                0.57769,                0.46215,                0.50529,                0.22969,                 1.9163,                 1.9261,                 2.0455,              0.0051737,              0.0051737,              0.0051737
                     81,                 1.7224,                 1.7104,                 1.8227,                0.57256,                0.45002,                0.50973,                0.22853,                 1.9727,                 1.8384,                 2.0614,              0.0051119,              0.0051119,              0.0051119
                     82,                 1.7072,                 1.6957,                 1.8215,                0.54745,                0.46365,                0.50212,                0.22596,                 1.9558,                  1.802,                 2.0627,                0.00505,                0.00505,                0.00505
                     83,                 1.7191,                 1.7168,                  1.816,                0.58375,                0.48265,                0.52088,                0.24212,                 1.9162,                 1.8431,                 2.0674,              0.0049881,              0.0049881,              0.0049881
                     84,                 1.7272,                 1.6985,                 1.8298,                0.41711,                0.33596,                0.31671,                0.13747,                    nan,                    nan,                    nan,              0.0049263,              0.0049263,              0.0049263
                     85,                 1.7071,                  1.678,                  1.806,                 0.5104,                0.48738,                0.49092,                0.22187,                 1.9518,                 1.8483,                 2.0385,              0.0048644,              0.0048644,              0.0048644
                     86,                 1.6909,                 1.6551,                 1.7929,                0.60046,                0.48832,                0.52259,                0.23962,                 1.9583,                 1.7897,                 2.0471,              0.0048025,              0.0048025,              0.0048025
                     87,                 1.6933,                 1.6384,                 1.7905,                  0.563,                0.44006,                0.50487,                0.22884,                 1.9363,                 1.8064,                 2.0545,              0.0047406,              0.0047406,              0.0047406
                     88,                 1.6757,                 1.6429,                 1.7938,                0.52178,                0.50158,                0.49547,                0.23086,                   1.92,                 1.8552,                 2.0143,              0.0046788,              0.0046788,              0.0046788
                     89,                 1.6518,                  1.588,                 1.7628,                0.55485,                0.45268,                0.48995,                0.23036,                 1.9448,                 1.9052,                 2.0168,              0.0046169,              0.0046169,              0.0046169
                     90,                 1.6581,                    1.6,                 1.7722,                0.61976,                0.50388,                0.55683,                 0.2597,                 1.9237,                 1.7021,                 2.0325,               0.004555,               0.004555,               0.004555
                     91,                 1.7001,                 1.6349,                 1.7962,                0.61669,                0.48216,                0.52987,                0.24782,                 1.9061,                 1.7248,                  2.017,              0.0044931,              0.0044931,              0.0044931
                     92,                 1.6607,                 1.6197,                 1.7798,                0.64201,                0.42902,                  0.486,                0.22827,                 2.0861,                 1.9739,                 2.2085,              0.0044313,              0.0044313,              0.0044313
                     93,                 1.6443,                 1.5961,                 1.7522,                0.59581,                    0.5,                0.54673,                0.26179,                 1.9445,                 1.6879,                 2.0548,              0.0043694,              0.0043694,              0.0043694
                     94,                 1.6293,                 1.5915,                 1.7617,                0.57074,                0.51171,                 0.5458,                0.26176,                 1.8875,                 1.7046,                 1.9969,              0.0043075,              0.0043075,              0.0043075
                     95,                 1.6399,                 1.5798,                 1.7493,                0.57636,                 0.5142,                0.55968,                0.27678,                 1.8368,                 1.7237,                 1.9808,              0.0042456,              0.0042456,              0.0042456
                     96,                 1.6212,                 1.5495,                 1.7234,                 0.5831,                0.47634,                0.54549,                0.25937,                 1.8853,                 1.7405,                 1.9765,              0.0041837,              0.0041837,              0.0041837
                     97,                 1.6032,                 1.5302,                 1.7255,                0.60725,                0.52997,                0.57344,                0.27424,                 1.8646,                 1.6998,                 1.9829,              0.0041219,              0.0041219,              0.0041219
                     98,                 1.6321,                  1.556,                 1.7371,                0.44773,                0.13722,                0.13394,                0.06167,                 2.5982,                 6.1355,                 2.8286,                0.00406,                0.00406,                0.00406
                     99,                 1.6137,                 1.5282,                 1.7201,                0.06781,                0.13407,                0.01253,                0.00479,                    nan,                    nan,                    nan,              0.0039981,              0.0039981,              0.0039981
                    100,                  1.588,                 1.5169,                 1.7079,                0.56465,                0.46029,                0.50291,                0.23356,                 1.9648,                 1.7986,                 2.0569,              0.0039362,              0.0039362,              0.0039362
                    101,                 1.6052,                 1.5042,                 1.7184,                0.57869,                0.52647,                  0.552,                0.25986,                 1.9159,                 1.6925,                 1.9816,              0.0038744,              0.0038744,              0.0038744
                    102,                 1.5923,                 1.5387,                  1.734,                0.66612,                0.47792,                 0.5585,                0.26147,                 1.8917,                 1.7286,                 1.9922,              0.0038125,              0.0038125,              0.0038125
                    103,                 1.6123,                 1.5124,                 1.7117,                 0.6437,                0.51735,                0.57278,                0.27347,                 1.8801,                 1.6952,                  2.002,              0.0037506,              0.0037506,              0.0037506
                    104,                 1.5961,                 1.5042,                 1.7169,                0.62571,                0.55836,                0.58109,                0.27519,                 1.8445,                 1.7134,                 2.0051,              0.0036888,              0.0036888,              0.0036888
